,0,1,2
0,0.9999613,0.99994993,0.9996243
1,0.9999647,0.99994993,0.9996067
2,0.9999645,0.99994993,0.9996079
3,0.99995905,0.99994993,0.9996346
4,0.9999773,0.99995,0.99951047
5,0.99997205,0.99995,0.99955857
6,0.9999857,0.99995,0.9993848
7,0.99995995,0.9999486,0.9996286
8,0.99996495,0.9999486,0.9996032
9,0.99998164,0.9999487,0.9994534
10,0.9999883,0.9999348,0.9992787
11,0.9999605,0.9998978,0.999564
12,0.9999611,0.99989784,0.99956053
13,0.99997574,0.99989796,0.9994448
14,0.99997056,0.999898,0.9994957
15,0.99996984,0.9998981,0.9995016
16,0.9999846,0.99989814,0.999305
17,0.9999674,0.9998886,0.99951124
18,0.99996954,0.99988866,0.9994945
19,0.9999767,0.9998887,0.999423
20,0.9999718,0.99988884,0.99947494
21,0.9999771,0.9998889,0.9994183
22,0.9999725,0.999889,0.9994683
23,0.99998343,0.9998891,0.99931735
24,0.9999822,0.999888,0.99934113
25,0.9999821,0.9998881,0.9993423
26,0.99997586,0.99988824,0.99943274
27,0.9999702,0.9998883,0.99948925
28,0.9999697,0.9998884,0.999493
29,0.99997973,0.9998885,0.9993822
30,0.9999846,0.99988854,0.9992915
31,0.99998814,0.9998851,0.9991905
32,0.9999721,0.9998688,0.9994529
33,0.99998623,0.99986607,0.99922097
34,0.99997824,0.99986625,0.9993794
35,0.9999856,0.9998664,0.99923956
36,0.9999717,0.99976987,0.9993849
37,0.9999758,0.99976975,0.9993352
38,0.9999793,0.99977016,0.99928176
39,0.99998623,0.9997706,0.9991223
40,0.9999737,0.999652,0.9993007
41,0.999981,0.9996525,0.9991795
42,0.9999821,0.9996535,0.9991546
43,0.99998385,0.9996525,0.99911183
44,0.9999847,0.9996535,0.99908805
45,0.9999818,0.99965465,0.99916214
46,0.9999868,0.99965566,0.9990203
47,0.99997884,0.9991741,0.9990567
48,0.9999835,0.99917877,0.99893546
49,0.99997,0.99816996,0.99905056
50,0.99996215,0.99758816,0.9990977
51,0.9999793,0.9976145,0.99878323
52,0.9999808,0.99577296,0.9985626
53,0.99998033,0.99558014,0.9985516
54,0.99996835,0.9949,0.9988038
55,0.99996364,0.99501336,0.99887425
56,0.9999809,0.9951198,0.9984451
57,0.99997634,0.9773774,0.9983972
58,0.999973,0.9716321,0.9978733
59,0.99996024,0.9443939,0.9977216
60,0.99995846,0.9558445,0.9973787
61,0.999956,0.96334374,0.9971356
62,0.9999687,0.9687079,0.99632317
63,0.99995565,0.97261655,0.996662
64,0.99996865,0.97540295,0.99582565
65,0.9999692,0.9783281,0.9956126
66,0.99995744,0.9773564,0.9959585
67,0.9999746,0.9798875,0.9989406
68,0.9999574,0.9781071,0.99547166
69,0.999953,0.9806215,0.9955367
70,0.9999574,0.98267883,0.99520624
71,0.99995947,0.98446774,0.9950054
72,0.99997073,0.9860193,0.99606043
73,0.9999741,0.9871908,0.99829143
74,0.99997234,0.9879017,0.99700415
75,0.99996734,0.9884319,0.9941246
76,0.99997425,0.9894635,0.99829346
77,0.99997157,0.9845774,0.9976711
78,0.9999741,0.9855793,0.99926543
79,0.9999685,0.9833895,0.99627477
80,0.99995774,0.98470414,0.9934712
81,0.9999648,0.9865459,0.994068
82,0.99996656,0.9880014,0.99490446
83,0.9999646,0.98913234,0.99374694
84,0.9999684,0.9902612,0.9957459
85,0.99996966,0.9905675,0.99656963
86,0.99996823,0.98751307,0.9967375
87,0.9999659,0.98847234,0.9953904
88,0.9999657,0.9895069,0.995219
89,0.9999672,0.98970807,0.9961429
90,0.99995995,0.98599315,0.9938308
91,0.99995846,0.9876646,0.993087
92,0.9999615,0.9891799,0.99427444
93,0.99996364,0.9903041,0.9951635
94,0.99996614,0.9911723,0.99631417
95,0.9999671,0.99046946,0.9971521
96,0.9999624,0.97367907,0.99779826
97,0.9999503,0.969199,0.9942784
98,0.9999563,0.974734,0.9959569
99,0.99995035,0.9782674,0.99391836
100,0.99994034,0.98162246,0.99103683
101,0.9999356,0.9849339,0.989713
102,0.999948,0.98774093,0.9927463
103,0.99995977,0.9894451,0.99650764
