,0,1,2
0,1.0161056e-30,5.0025967e-05,1.6482e-35
1,1.0161056e-30,5.0025967e-05,1.6482e-35
2,1.0161056e-30,5.0025967e-05,1.6482e-35
3,1.0161056e-30,5.0025967e-05,1.6482e-35
4,1.0161056e-30,5.0025967e-05,1.6482e-35
5,1.0161056e-30,5.0025967e-05,1.6482e-35
6,1.0161056e-30,5.0025967e-05,1.6482e-35
7,1.0861041e-30,5.1329193e-05,1.7970935e-35
8,1.0860876e-30,5.132826e-05,1.7970386e-35
9,1.086071e-30,5.1327428e-05,1.7969975e-35
10,2.0174553e-30,6.518387e-05,4.014436e-35
11,6.46907e-30,0.000102174694,1.8213534e-34
12,6.465666e-30,0.00010212229,1.8199088e-34
13,6.462287e-30,0.000102069134,1.8184514e-34
14,6.458122e-30,0.000102000646,1.8166489e-34
15,6.454331e-30,0.000101939484,1.8150004e-34
16,6.450589e-30,0.00010187904,1.813367e-34
17,8.145137e-30,0.00011141559,2.4540426e-34
18,8.139825e-30,0.00011134189,2.4515722e-34
19,8.134393e-30,0.00011126676,2.4490483e-34
20,8.128283e-30,0.00011117915,2.44621e-34
21,8.122641e-30,0.00011110042,2.4436172e-34
22,8.116509e-30,0.00011101295,2.4407478e-34
23,8.110876e-30,0.00011093348,2.4381422e-34
24,8.321293e-30,0.00011196947,2.5199745e-34
25,8.314218e-30,0.00011186832,2.5166505e-34
26,8.307117e-30,0.000111767564,2.5132928e-34
27,8.3009386e-30,0.000111681176,2.5103988e-34
28,8.295241e-30,0.00011160261,2.5077572e-34
29,8.2896734e-30,0.00011152623,2.5051566e-34
30,8.283005e-30,0.000111431735,2.502024e-34
31,8.9858016e-30,0.000114918934,2.78037e-34
32,1.2686618e-29,0.0001311824,4.3490453e-34
33,1.3399892e-29,0.00013390505,4.668053e-34
34,1.3383341e-29,0.00013372884,4.659086e-34
35,1.3369819e-29,0.00013358828,4.6518403e-34
36,5.486777e-29,0.00023015421,2.9065993e-33
37,5.5081885e-29,0.00023025957,2.9203363e-33
38,5.498343e-29,0.0002298418,2.9124818e-33
39,5.487865e-29,0.00022939022,2.9040722e-33
40,1.6228111e-28,0.0003480004,1.18560346e-32
41,1.6232197e-28,0.00034749,1.1854587e-32
42,1.6185082e-28,0.00034646547,1.1803417e-32
43,1.6390992e-28,0.00034750326,1.19917645e-32
44,1.634884e-28,0.00034647013,1.19443744e-32
45,1.6297219e-28,0.00034534457,1.1887827e-32
46,1.6249235e-28,0.00034430635,1.183552e-32
47,1.5799732e-27,0.0008258731,2.2647697e-31
48,1.5707665e-27,0.0008212529,2.2462538e-31
49,1.2701213e-26,0.0018300262,3.3831344e-30
50,2.638963e-26,0.0024117678,8.741806e-30
51,2.6046884e-26,0.0023855073,8.601977e-30
52,1.1784858e-25,0.0042270655,6.1037444e-29
53,1.3642282e-25,0.004419857,7.395088e-29
54,2.0452244e-25,0.0051000207,1.2535254e-28
55,1.9883583e-25,0.004986564,1.2128516e-28
56,1.9350727e-25,0.004880181,1.1750564e-28
57,1.1562796e-23,0.0226226,2.3811273e-26
58,2.4039528e-23,0.028367892,6.355161e-26
59,1.8344424e-22,0.05560608,9.252814e-25
60,1.2888858e-22,0.044155426,6.4285567e-25
61,9.794858e-23,0.036656212,4.8152997e-25
62,7.8117936e-23,0.03129205,3.7770926e-25
63,6.623489e-23,0.027383363,3.1646553e-25
64,5.885729e-23,0.024597038,2.8003196e-25
65,4.9936482e-23,0.02167187,2.3147284e-25
66,6.650351e-23,0.022643544,3.4149882e-25
67,5.7112854e-23,0.020112535,2.85833e-25
68,7.88313e-23,0.02189282,4.455191e-25
69,6.762453e-23,0.019378398,3.710599e-25
70,5.8875485e-23,0.017321128,3.1378007e-25
71,5.16527e-23,0.0155322775,2.667877e-25
72,4.5652087e-23,0.013980671,2.2821739e-25
73,4.1146262e-23,0.012809238,2.0050348e-25
74,3.8219923e-23,0.012098331,1.8426487e-25
75,3.755152e-23,0.011568126,1.8112874e-25
76,3.436234e-23,0.010536487,1.6061999e-25
77,1.00994984e-22,0.0154225575,6.5606776e-25
78,9.37013e-23,0.014420712,6.0314954e-25
79,1.456921e-22,0.016610505,1.0882701e-24
80,1.3458031e-22,0.015295891,9.913501e-25
81,1.1648821e-22,0.013454068,8.196664e-25
82,1.0251306e-22,0.011998604,6.9210026e-25
83,9.17723e-23,0.010867682,5.980952e-25
84,8.1553015e-23,0.009738803,5.089657e-25
