,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,3.3301976e-31,2.4361483e-05,1.0253654e-35
8,3.3300135e-31,2.435979e-05,1.0249532e-35
9,3.329846e-31,2.4358143e-05,1.0245232e-35
10,6.368145e-30,0.00031848383,2.3577163e-34
11,5.511618e-29,0.0013474473,2.8867399e-33
12,5.5084997e-29,0.0013466185,2.8831929e-33
13,5.505407e-29,0.00134578,2.8796179e-33
14,5.501725e-29,0.0013447397,2.8751664e-33
15,5.498333e-29,0.0013437964,2.8711086e-33
16,5.4949797e-29,0.0013428627,2.867095e-33
17,7.815635e-29,0.0016541563,4.369195e-33
18,7.810283e-29,0.0016528779,4.3626636e-33
19,7.804834e-29,0.0016515787,4.355969e-33
20,7.7987897e-29,0.0016500946,4.3484107e-33
21,7.793157e-29,0.0016487428,4.3415212e-33
22,7.7870957e-29,0.0016472618,4.3339007e-33
23,7.7814774e-29,0.0016458997,4.3269723e-33
24,8.0846495e-29,0.0016822127,4.5263068e-33
25,8.0776307e-29,0.0016805049,4.5173576e-33
26,8.070587e-29,0.0016788035,4.5083636e-33
27,8.0643905e-29,0.0016773184,4.500618e-33
28,8.058615e-29,0.0016759512,4.4935858e-33
29,8.0529625e-29,0.0016746173,4.48665e-33
30,8.0463216e-29,0.0016730118,4.4782713e-33
31,9.069462e-29,0.0017925925,5.169032e-33
32,1.4824434e-28,0.0023693356,9.367316e-33
33,1.6000217e-28,0.0024712102,1.027111e-32
34,1.5980235e-28,0.0024676279,1.0243394e-32
35,1.5963742e-28,0.0024647044,1.0221116e-32
36,1.0119341e-27,0.006562563,9.898972e-32
37,1.0172661e-27,0.006573192,9.953565e-32
38,1.0154232e-27,0.006559755,9.920195e-32
39,1.0134673e-27,0.0065453625,9.884448e-32
40,3.80825e-27,0.012620719,5.1349096e-31
41,3.8112112e-27,0.012604789,5.13355e-31
42,3.8000766e-27,0.012563259,5.107197e-31
43,3.8601275e-27,0.012635163,5.200336e-31
44,3.8505352e-27,0.012594523,5.175724e-31
45,3.8383187e-27,0.012549258,5.1465235e-31
46,3.826948e-27,0.01250721,5.1195854e-31
47,5.377264e-26,0.043390807,1.4204698e-29
48,5.345817e-26,0.043112427,1.4075275e-29
49,5.54794e-25,0.12331912,2.725027e-28
50,1.242772e-24,0.17496866,7.5899893e-28
51,1.2265845e-24,0.17264612,7.4618456e-28
52,6.3761805e-24,0.35109088,6.084998e-27
53,7.488744e-24,0.3709555,7.470466e-27
54,1.1632679e-23,0.4418172,1.3107643e-26
55,1.1308882e-23,0.42978525,1.2667162e-26
56,1.10054174e-23,0.41851875,1.2258608e-26
57,8.768221e-22,2.5945144,3.320269e-24
58,1.9184718e-21,3.3543825,9.317624e-24
59,1.6500206e-20,7.261773,1.5283764e-22
60,1.1592642e-20,5.4457493,1.0594473e-22
61,8.8094356e-21,4.3212404,7.91497e-23
62,7.0255705e-21,3.5536623,6.1906724e-23
63,5.967375e-21,3.0193095,5.1773257e-23
64,5.31714e-21,2.6473162,4.578982e-23
65,4.511097e-21,2.2751157,3.769161e-23
66,6.1409978e-21,2.3959517,5.6639014e-23
67,5.2736314e-21,2.0799525,4.721501e-23
68,7.43406e-21,2.2852418,7.5146776e-23
69,6.3769522e-21,1.978494,6.2304146e-23
70,5.5516615e-21,1.7341813,5.245121e-23
71,4.8703817e-21,1.5281467,4.4382223e-23
72,4.3044036e-21,1.354127,3.777613e-23
73,3.879449e-21,1.2233201,3.305798e-23
74,3.6034475e-21,1.1406263,3.0328736e-23
75,3.5517746e-21,1.0829005,2.9825947e-23
76,3.2537428e-21,0.9766838,2.6325792e-23
77,1.0093013e-20,1.5398438,1.137549e-22
78,9.372954e-21,1.4197798,1.04445013e-22
79,1.4917805e-20,1.6726018,1.9310265e-22
80,1.3804113e-20,1.5189536,1.7558578e-22
81,1.1947873e-20,1.3156159,1.4422971e-22
82,1.0514109e-20,1.1575066,1.2106058e-22
83,9.412183e-21,1.035827,1.04084346e-22
84,8.363795e-21,0.9181429,8.8019604e-23
85,8.746416e-21,0.88925046,9.256017e-23
86,2.1208929e-20,1.2483386,2.8905754e-22
87,1.9285454e-20,1.1380512,2.5601788e-22
88,1.7348813e-20,1.0239745,2.2184988e-22
89,1.9155383e-20,1.0079705,2.4985608e-22
90,5.1006945e-20,1.46022,8.803871e-22
91,4.4253184e-20,1.2679601,7.250153e-22
92,3.8396257e-20,1.0984788,5.9342545e-22
93,3.4078358e-20,0.9737013,5.0202775e-22
94,3.0757706e-20,0.87791646,4.352236e-22
95,4.2874287e-20,0.96660364,6.645421e-22
96,7.9388494e-19,3.1854994,2.8849058e-20
97,1.4818929e-18,3.7987952,6.672135e-20
98,1.1506089e-18,3.020175,4.9100827e-20
99,9.480027e-19,2.5321662,3.896661e-20
100,7.761318e-19,2.0947137,3.0125524e-20
101,6.228746e-19,1.6857105,2.2208912e-20
102,5.0052275e-19,1.3509735,1.6195687e-20
103,4.2628704e-19,1.1489167,1.2890897e-20
104,3.858954e-19,1.0422555,1.1301214e-20
105,3.58582e-19,0.96908534,1.0302488e-20
106,3.27159e-19,0.8847886,9.100103e-21
107,2.7640773e-19,0.7413092,7.039606e-21
108,2.947094e-19,0.70312464,7.434121e-21
109,6.7782524e-19,0.9865117,2.1980842e-20
110,1.5518366e-18,1.331475,6.38075e-20
111,1.3990867e-18,1.2058854,5.58878e-20
112,1.4894291e-18,1.1643244,6.027284e-20
113,7.297357e-18,2.2131257,4.7751994e-19
114,1.2168031e-17,2.613064,9.517535e-19
115,1.0215187e-17,2.2167163,7.678354e-19
116,1.0018797e-17,2.0046632,7.5002627e-19
