,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.30661863,0.47461262,0.57056874
8,0.30660635,0.47458825,0.57035685
9,0.3065956,0.47456387,0.5701305
10,3.1565237,4.88593,5.873095
11,8.519954,13.187681,15.849422
12,8.519617,13.186333,15.842512
13,8.519285,13.184985,15.83555
14,8.519078,13.18364,15.826758
15,8.518827,13.182295,15.818777
16,8.518571,13.180951,15.810893
17,9.595462,14.846722,17.804071
18,9.595149,14.845068,17.79537
19,9.594857,14.843415,17.786375
20,9.594634,14.8417635,17.776114
21,9.594363,14.840114,17.76678
22,9.594144,14.838465,17.756447
23,9.593881,14.836818,17.747005
24,9.715616,15.023851,17.961716
25,9.715443,15.022169,17.94988
26,9.715269,15.020489,17.938076
27,9.7150345,15.01881,17.9279
28,9.714745,15.017133,17.918743
29,9.714451,15.015457,17.909658
30,9.714254,15.0137825,17.898594
31,10.093102,15.598757,18.591167
32,11.685095,18.061382,21.538788
33,11.940557,18.454945,22.002985
34,11.9403925,18.452473,21.985844
35,11.940133,18.450005,21.972198
36,18.443142,28.513765,34.056885
37,18.46825,28.546879,34.08363
38,18.467804,28.540306,34.06097
39,18.467422,28.533747,34.036507
40,23.466995,36.26639,43.310516
41,23.47933,36.27382,43.304333
42,23.478884,36.261215,43.268803
43,23.550299,36.35984,43.3659
44,23.552345,36.350964,43.331898
45,23.551985,36.338367,43.29238
46,23.551558,36.325817,43.256107
47,34.033894,52.539314,62.720276
48,34.033173,52.495922,62.66111
49,43.680393,67.386536,80.5474
50,47.093193,72.54789,86.82404
51,47.09141,72.37292,86.745705
52,54.104855,83.05783,99.69287
53,54.893635,83.9293,101.019295
54,56.877274,86.63047,104.56623
55,56.875473,86.18865,104.44115
56,56.873405,85.75886,104.32357
57,75.83132,114.68683,139.44106
58,79.804886,118.24574,146.61508
59,89.94671,130.59315,165.17963
60,89.94313,123.331375,164.80328
61,89.93939,117.88562,164.37129
62,89.93543,113.56438,163.90047
63,90.09414,110.26073,163.5984
64,90.33953,107.62744,163.5164
65,90.3367,104.980125,162.83383
66,92.34096,105.81169,165.8542
67,92.33703,103.41573,165.1839
68,94.30341,104.38316,168.6724
69,94.29939,102.097916,167.90858
70,94.29496,100.119415,167.15915
71,94.29094,98.38523,166.35783
72,94.28712,96.857086,165.52695
73,94.284355,95.50296,164.87485
74,94.28191,94.27964,164.59315
75,94.58404,93.61071,164.66711
76,94.68921,92.69539,163.9011
77,99.93578,99.84361,173.38896
78,100.030136,98.45421,173.16603
79,102.392685,100.69542,177.44
80,102.571556,99.30468,177.11784
81,102.56722,97.78573,175.96147
82,102.56361,96.47011,174.91768
83,102.56017,95.3126,174.02638
84,102.55654,94.27677,172.93819
85,103.14551,94.27531,173.30449
86,107.397026,99.97179,180.62721
87,107.393616,98.72344,180.03792
88,107.38995,97.585396,179.20802
89,108.27556,97.937935,180.00604
90,113.00142,104.25058,188.11243
91,112.996895,102.79036,186.95192
92,112.9922,101.5224,185.65952
93,112.987854,100.42392,184.59651
94,112.98375,99.45022,183.7037
95,114.82093,101.42198,186.45242
96,128.10611,121.02526,210.65007
97,131.6507,123.33386,216.79117
98,131.64415,119.53506,215.55077
99,131.6384,116.514885,214.67928
100,131.63187,113.98271,213.37367
101,131.62401,111.88799,211.46117
102,131.61554,110.20228,209.28587
103,131.6087,108.8513,207.76778
104,131.60341,107.702385,207.04218
105,131.6176,106.68963,206.61234
106,131.61234,105.72054,205.88223
107,131.60458,104.83575,203.91943
108,132.4688,105.44247,204.04102
109,136.36064,110.77038,211.1259
110,140.47691,116.16445,217.9946
111,140.47089,114.83298,217.3332
112,141.24153,114.82988,217.90617
113,148.61,125.07918,231.45508
114,151.37132,127.14936,236.47858
115,151.39525,124.58572,235.5635
116,152.08705,123.452866,235.70842
117,152.73853,122.46733,236.4063
118,155.1817,124.35581,240.58595
119,155.54109,122.754395,240.34293
120,155.53136,120.81717,238.88503
121,155.52324,119.19559,237.98393
122,162.40932,128.43588,250.56554
123,162.40242,125.89123,250.54073
124,162.3952,123.58266,250.34892
125,162.38359,121.4955,248.63293
126,164.27895,122.73473,251.80258
127,165.21713,122.334465,253.38673
128,165.20956,120.45973,253.12723
129,165.4627,119.149475,253.40738
130,165.45374,117.528244,252.58978
131,170.87387,124.492744,262.40765
132,176.5459,131.0581,272.68933
133,176.52548,127.65542,269.84064
134,176.50847,125.20123,267.53223
135,176.48877,123.301445,264.73282
136,176.53703,121.94772,263.4643
137,176.56035,120.75484,262.16092
138,188.00766,137.40921,282.41336
139,192.07602,140.90279,289.33307
140,192.05927,137.37363,287.8076
141,195.17029,139.42284,292.95535
142,195.6565,136.99811,293.1264
143,195.64143,134.17535,292.038
144,195.8216,132.11876,291.8716
145,195.80757,130.00253,290.96982
146,196.01756,128.52234,289.5848
147,197.4883,129.28186,291.61868
148,197.4645,127.697556,289.07507
149,199.49529,129.6171,292.1602
150,199.6361,128.48723,291.8284
151,199.60591,127.225334,288.603
152,199.59174,126.285194,286.14502
153,199.5797,125.52841,283.97375
154,199.55424,124.8878,281.24796
155,199.52533,124.37414,278.10666
156,199.50789,123.97264,276.55496
157,200.67868,125.4539,277.77582
158,200.65334,125.08982,275.09262
159,200.627,124.79403,272.2809
160,204.75845,130.97443,278.85355
161,204.72806,130.65054,275.79535
162,204.69864,130.39403,272.83295
163,204.67723,130.18898,270.86765
164,208.44958,135.87552,276.98602
165,211.9572,141.09059,283.21396
166,211.92526,140.77214,280.35684
167,212.1265,140.86983,278.41312
168,212.10512,140.65138,276.82422
169,213.80852,143.12564,278.6616
170,213.78224,142.92099,276.4998
171,213.73738,142.74709,272.638
